FIPS,nickel (elemental)_label,polycyclic aromatic compounds_label,"benzo[g,h,i]perylene_label",naphthalene_label,chromium (elemental)_label,nickel compounds_label,benzene_label,chromium compounds_label,cumene_label,xylene (mixed isomers)_label,ethylbenzene_label,toluene_label,styrene_label,arsenic compounds_label,formaldehyde_label,p-xylene_label,"1,3-phenylenediamine_label",phenanthrene_label,vinyl chloride_label,cadmium (elemental)_label,o-xylene_label,m-xylene_label,arsenic (elemental)_label,cadmium compounds_label,Count,Population,Rate_per_1M
06001,1.0,0.0,1.0,1.0,,1.0,,0.0,1.0,,1.0,1.0,0.0,,,,,,,,,,,,29,1864252.0,15.555836871839215
06005,,,,,,,,0.0,,,,,,,,,,,,,,,,,1,40750.0,24.539877300613497
06011,,,,,,,,,,,,,1.0,,,,,,,,,,,,0,33685.0,0.0
06013,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,,,,0.0,,,,,,,15,1394903.0,10.753435901994619
06019,0.0,0.0,,,,1.0,,1.0,,,,,1.0,,,,,,,,,,,,17,1065894.0,15.949053095335934
06021,,,,,0.0,,,,,,,,1.0,,,,,,,,,,,,2,29967.0,66.74008075549771
06029,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,0.0,,,,,,,,,,20,1009496.0,19.811866515568166
06031,,0.0,0.0,1.0,,1.0,,1.0,,,,,,,,,,0.0,,,,,,,2,256175.0,7.807163072118669
06033,,1.0,,,,,,,,,,,,,,,,,,,,,,,0,69896.0,0.0
06035,,,,,,,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,1,34940.0,28.620492272467086
06037,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,,0.0,1.0,,,0.0,,0.0,0.0,151,10537030.0,14.330413788325552
06039,0.0,,,,1.0,0.0,,0.0,,,,,1.0,,,,,,,,,,,,1,250420.0,3.993291270665282
06047,,0.0,,,,,,,,0.0,,0.0,1.0,,,,,,,,,,,,7,377388.0,18.548549503428834
06057,,0.0,,,,,,,,,,,,,,,,,,,,,,,2,118541.0,16.87179963050759
06059,0.0,,,0.0,,1.0,,1.0,,1.0,1.0,0.0,1.0,,0.0,,,,,,,,,,55,3378095.0,16.281365680953318
06061,,0.0,0.0,,,0.0,,0.0,,,,,,,,,,,,,,,,,12,434707.0,27.604800474802566
06065,,0.0,1.0,1.0,,0.0,,1.0,,1.0,1.0,0.0,1.0,,,,,,,,,,,,36,2773517.0,12.979909623773715
06067,,,,0.0,,0.0,,0.0,,0.0,,0.0,,,,,,,,,,,,,26,1642557.0,15.82897884213455
06069,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,0,68338.0,0.0
06071,,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,,,,,,,,,,,,30,2568172.0,11.681460587530742
06073,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,1.0,1.0,1.0,0.0,,,,,,,,,,,,46,3341751.0,13.765238642855198
06075,,0.0,,,,,,,,,,,,,,,,,,,,,,,7,922610.0,7.587171177420579
06077,,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,20,872652.0,22.91864339965989
06079,0.0,0.0,1.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,2,386628.0,5.17293108621207
06083,,0.0,,0.0,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,1,449991.0,2.2222666675555733
06085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,,,,,,,,25,2171161.0,11.51457676330774
06087,,1.0,,,,,,,,,,,,,,,,,,,,,,,7,289843.0,24.151005889395293
06089,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,6,194039.0,30.921618849818852
06095,,0.0,0.0,1.0,,0.0,1.0,0.0,1.0,1.0,1.0,1.0,,,,,,,,,,,,,6,629994.0,9.523900227621215
06097,,0.0,1.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,7,527447.0,13.271475617455403
06099,,,,0.0,1.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,,,,,,,,,,,15,625836.0,23.967940482810192
06107,,,,,,0.0,0.0,1.0,,0.0,,,,,1.0,,,,,,,,,,7,679101.0,10.307745092408934
06111,,,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,11,1002355.0,10.97415586294277
06113,,0.0,,,,1.0,,0.0,,0.0,,,1.0,,,,,,,,,,,,2,245508.0,8.146374048910829
06115,,0.0,,,,,,,,,,,,,,,,,,,,,,,1,116478.0,8.585312247806453
13001,,,,,,,,,,,,,,,0.0,,,,,,,,,,0,41430.0,0.0
13003,,,,,,,,,,,,,,,1.0,,,,,,,,,,0,17313.0,0.0
13013,,,,0.0,,,,1.0,,,,,,,0.0,,,,,,,,,,3,160501.0,18.69147232727522
13015,1.0,,,0.0,1.0,,,,,,,,0.0,,0.0,,,,,,,,1.0,,5,265262.0,18.849288627847187
13017,,,,,,,,0.0,,,,,,,,,,,,,,,,,0,26614.0,0.0
13019,,,,,,,,,,,,,1.0,,,,,,,,,,,,0,64165.0,0.0
13021,,1.0,1.0,0.0,,,1.0,1.0,0.0,0.0,0.0,0.0,,,1.0,,,,,,,,,,3,179634.0,16.700624603360165
13027,,,,,,,,,,,,,,,0.0,,,,,,,,,,0,65886.0,0.0
13029,,,,,,,,0.0,,,0.0,1.0,0.0,,,,,,,,,,,,1,56395.0,17.732068445784204
13031,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,1,118893.0,8.410924108231772
13033,,,,0.0,,,,,,,,,,,,,,,,,,,,,0,78638.0,0.0
13039,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1,68404.0,14.619028127010116
13045,,1.0,,,,,,0.0,,1.0,1.0,1.0,,,,,,,,,,,,,1,162666.0,6.147566178549912
13047,,,,,,,,0.0,,,,,,,,,,,,,,,,,1,120501.0,8.298686317955868
13051,,1.0,1.0,,,0.0,,0.0,,0.0,,1.0,,0.0,1.0,,,,,,,,,,2,299127.0,6.68612328542726
13053,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,0,16727.0,0.0
13057,,,,,,0.0,,1.0,,,,,1.0,,,,,,,,,,,,1,706202.0,1.4160254431451624
13059,,0.0,,,,1.0,,1.0,,1.0,1.0,0.0,,,,,,,,,,,,,0,156716.0,0.0
13063,,0.0,0.0,,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,1,550712.0,1.8158311422304216
13065,,,,,,,,,,0.0,,,,,,,,,,,,,,,0,19011.0,0.0
13067,,1.0,,1.0,,0.0,,1.0,,1.0,1.0,0.0,0.0,,0.0,,,,,,,,,,14,1032407.0,13.56054346783778
13069,1.0,,,,,1.0,,1.0,,,,0.0,0.0,,,,,,,,,,,,0,62297.0,0.0
13073,,0.0,0.0,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,6,233524.0,25.693290625374694
13075,,,,0.0,,,,,,,,,,,,,,,,,,,,,0,31684.0,0.0
13077,,,,,,0.0,,,,0.0,,0.0,0.0,,,,,,,,,,,,1,174617.0,5.726819267310743
13081,,1.0,,0.0,0.0,1.0,,,,0.0,,,,,1.0,,,,,,,,0.0,,0,28529.0,0.0
13087,,1.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,0,47540.0,0.0
13089,,0.0,0.0,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,,11,1178504.0,9.333867343683178
13091,,,,,0.0,,,,,,,,,,,,,,,,,,,,0,49371.0,0.0
13093,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0,48374.0,0.0
13095,,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,3,140182.0,21.40075045298255
13097,,1.0,1.0,,,,,0.0,,,,,,,,,,,,,,,,,4,310074.0,12.900146416661828
13099,,1.0,1.0,1.0,0.0,,,,,1.0,,,,,1.0,,,,,,,,,,1,26816.0,37.29116945107399
13103,,0.0,,0.0,,1.0,,,,,,,,,,,,,,,,,,,1,90718.0,11.023170704821535
13113,,0.0,0.0,,,0.0,,0.0,,,,1.0,,,,,,,,,,,,,2,224350.0,8.914642299977714
13115,,1.0,,,,0.0,,0.0,,1.0,,,0.0,0.0,1.0,,,,,,,,,,3,207296.0,14.4720592775548
13117,,,,,,,,0.0,,,,,,,,,,,,,,,,,10,521982.0,19.157748734630694
13119,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,0,77969.0,0.0
13121,,1.0,0.0,1.0,,0.0,,1.0,,1.0,1.0,1.0,0.0,,,,,,,,,,,,7,1507882.0,4.642273069112835
13127,,1.0,1.0,,,0.0,,,,,,,,,1.0,,,,,,,,,,2,92858.0,21.538262723728703
13129,,,,,,0.0,,1.0,,,,,,,,,,,,,,,,,1,172233.0,5.806088264153791
13131,,,,,,,,,,,,,1.0,,,,,,,,,,,,0,74617.0,0.0
13133,,,,,,,,0.0,,,,,,,,,,,,,,,,,0,54540.0,0.0
