FIPS,nickel (elemental)_label,polycyclic aromatic compounds_label,"benzo[g,h,i]perylene_label",naphthalene_label,chromium (elemental)_label,nickel compounds_label,benzene_label,chromium compounds_label,cumene_label,xylene (mixed isomers)_label,ethylbenzene_label,toluene_label,styrene_label,arsenic compounds_label,formaldehyde_label,p-xylene_label,"1,3-phenylenediamine_label",phenanthrene_label,vinyl chloride_label,cadmium (elemental)_label,o-xylene_label,m-xylene_label,arsenic (elemental)_label,cadmium compounds_label,Count,Population,Rate_per_1M
06001,High,Low,High,High,,High,,Low,High,,High,High,Low,,,,,,,,,,,,29,1864252.0,15.555836871839215
06005,,,,,,,,Low,,,,,,,,,,,,,,,,,1,40750.0,24.539877300613497
06011,,,,,,,,,,,,,High,,,,,,,,,,,,0,33685.0,0.0
06013,High,High,High,High,,High,High,High,High,High,High,High,Low,,,,,Low,,,,,,,15,1394903.0,10.753435901994619
06019,Low,Low,,,,High,,High,,,,,High,,,,,,,,,,,,17,1065894.0,15.949053095335934
06021,,,,,Low,,,,,,,,High,,,,,,,,,,,,2,29967.0,66.74008075549771
06029,Low,High,High,High,Low,High,Low,High,High,High,High,High,High,,Low,,,,,,,,,,20,1009496.0,19.811866515568166
06031,,Low,Low,High,,High,,High,,,,,,,,,,Low,,,,,,,2,256175.0,7.807163072118669
06033,,High,,,,,,,,,,,,,,,,,,,,,,,0,69896.0,0.0
06035,,,,,,,Low,Low,,Low,,Low,,,,,,,,,,,,,1,34940.0,28.620492272467086
06037,High,High,High,High,Low,High,High,High,High,High,High,High,High,Low,Low,,Low,High,,,Low,,Low,Low,151,10537030.0,14.330413788325552
06039,Low,,,,High,Low,,Low,,,,,High,,,,,,,,,,,,1,250420.0,3.993291270665282
06047,,Low,,,,,,,,Low,,Low,High,,,,,,,,,,,,7,377388.0,18.548549503428834
06057,,Low,,,,,,,,,,,,,,,,,,,,,,,2,118541.0,16.87179963050759
06059,Low,,,Low,,High,,High,,High,High,Low,High,,Low,,,,,,,,,,55,3378095.0,16.281365680953318
06061,,Low,Low,,,Low,,Low,,,,,,,,,,,,,,,,,12,434707.0,27.604800474802566
06065,,Low,High,High,,Low,,High,,High,High,Low,High,,,,,,,,,,,,36,2773517.0,12.979909623773715
06067,,,,Low,,Low,,Low,,Low,,Low,,,,,,,,,,,,,26,1642557.0,15.82897884213455
06069,,,,,,High,,High,,,,,,,,,,,,,,,,,0,68338.0,0.0
06071,,Low,High,High,Low,High,Low,High,Low,High,High,Low,High,,,,,,,,,,,,30,2568172.0,11.681460587530742
06073,Low,Low,High,High,Low,Low,Low,Low,,High,High,High,Low,,,,,,,,,,,,46,3341751.0,13.765238642855198
06075,,Low,,,,,,,,,,,,,,,,,,,,,,,7,922610.0,7.587171177420579
06077,,Low,Low,High,High,High,Low,High,Low,Low,Low,Low,,,,,,,,,,,,,20,872652.0,22.91864339965989
06079,Low,Low,High,Low,,Low,Low,,Low,Low,Low,Low,Low,,,,,,,,,,,,2,386628.0,5.17293108621207
06083,,Low,,Low,,,,,,Low,Low,Low,,,,,,,,,,,,,1,449991.0,2.2222666675555733
06085,Low,Low,Low,Low,Low,Low,Low,,Low,Low,Low,Low,,,Low,,,,,,,,,,25,2171161.0,11.51457676330774
06087,,High,,,,,,,,,,,,,,,,,,,,,,,7,289843.0,24.151005889395293
06089,,Low,Low,,,,,Low,,,,,,,,,,,,,,,,,6,194039.0,30.921618849818852
06095,,Low,Low,High,,Low,High,Low,High,High,High,High,,,,,,,,,,,,,6,629994.0,9.523900227621215
06097,,Low,High,Low,,,Low,,Low,Low,Low,Low,,,,,,,,,,,,,7,527447.0,13.271475617455403
06099,,,,Low,High,Low,Low,Low,,High,High,Low,Low,Low,,,,,,,,,,,15,625836.0,23.967940482810192
06107,,,,,,Low,Low,High,,Low,,,,,High,,,,,,,,,,7,679101.0,10.307745092408934
06111,,,,Low,,Low,Low,Low,,Low,Low,Low,,,,,,,,,,,,,11,1002355.0,10.97415586294277
06113,,Low,,,,High,,Low,,Low,,,High,,,,,,,,,,,,2,245508.0,8.146374048910829
06115,,Low,,,,,,,,,,,,,,,,,,,,,,,1,116478.0,8.585312247806453
13001,,,,,,,,,,,,,,,Low,,,,,,,,,,0,41430.0,0.0
13003,,,,,,,,,,,,,,,High,,,,,,,,,,0,17313.0,0.0
13013,,,,Low,,,,High,,,,,,,Low,,,,,,,,,,3,160501.0,18.69147232727522
13015,High,,,Low,High,,,,,,,,Low,,Low,,,,,,,,High,,5,265262.0,18.849288627847187
13017,,,,,,,,Low,,,,,,,,,,,,,,,,,0,26614.0,0.0
13019,,,,,,,,,,,,,High,,,,,,,,,,,,0,64165.0,0.0
13021,,High,High,Low,,,High,High,Low,Low,Low,Low,,,High,,,,,,,,,,3,179634.0,16.700624603360165
13027,,,,,,,,,,,,,,,Low,,,,,,,,,,0,65886.0,0.0
13029,,,,,,,,Low,,,Low,High,Low,,,,,,,,,,,,1,56395.0,17.732068445784204
13031,,,,,,Low,,Low,,,,,,,,,,,,,,,,,1,118893.0,8.410924108231772
13033,,,,Low,,,,,,,,,,,,,,,,,,,,,0,78638.0,0.0
13039,,High,High,,,,,,,,,,,,,,,,,,,,,,1,68404.0,14.619028127010116
13045,,High,,,,,,Low,,High,High,High,,,,,,,,,,,,,1,162666.0,6.147566178549912
13047,,,,,,,,Low,,,,,,,,,,,,,,,,,1,120501.0,8.298686317955868
13051,,High,High,,,Low,,Low,,Low,,High,,Low,High,,,,,,,,,,2,299127.0,6.68612328542726
13053,,,,,,Low,,Low,,,,,,,,,,,,,,,,,0,16727.0,0.0
13057,,,,,,Low,,High,,,,,High,,,,,,,,,,,,1,706202.0,1.4160254431451624
13059,,Low,,,,High,,High,,High,High,Low,,,,,,,,,,,,,0,156716.0,0.0
13063,,Low,Low,,,,,,,Low,Low,Low,Low,,,,,,,,,,,,1,550712.0,1.8158311422304216
13065,,,,,,,,,,Low,,,,,,,,,,,,,,,0,19011.0,0.0
13067,,High,,High,,Low,,High,,High,High,Low,Low,,Low,,,,,,,,,,14,1032407.0,13.56054346783778
13069,High,,,,,High,,High,,,,Low,Low,,,,,,,,,,,,0,62297.0,0.0
13073,,Low,Low,Low,,Low,,Low,,,,,,,,,,,,,,,,,6,233524.0,25.693290625374694
13075,,,,Low,,,,,,,,,,,,,,,,,,,,,0,31684.0,0.0
13077,,,,,,Low,,,,Low,,Low,Low,,,,,,,,,,,,1,174617.0,5.726819267310743
13081,,High,,Low,Low,High,,,,Low,,,,,High,,,,,,,,Low,,0,28529.0,0.0
13087,,High,Low,,,,,Low,,,,,,,,,,,,,,,,,0,47540.0,0.0
13089,,Low,Low,Low,,High,High,High,Low,Low,Low,Low,Low,High,,,,,,,,,,,11,1178504.0,9.333867343683178
13091,,,,,Low,,,,,,,,,,,,,,,,,,,,0,49371.0,0.0
13093,,Low,Low,,,,,,,,,,,,,,,,,,,,,,0,48374.0,0.0
13095,,,,Low,,,Low,,Low,Low,Low,Low,,,,,,,,,,,,,3,140182.0,21.40075045298255
13097,,High,High,,,,,Low,,,,,,,,,,,,,,,,,4,310074.0,12.900146416661828
13099,,High,High,High,Low,,,,,High,,,,,High,,,,,,,,,,1,26816.0,37.29116945107399
13103,,Low,,Low,,High,,,,,,,,,,,,,,,,,,,1,90718.0,11.023170704821535
13113,,Low,Low,,,Low,,Low,,,,High,,,,,,,,,,,,,2,224350.0,8.914642299977714
13115,,High,,,,Low,,Low,,High,,,Low,Low,High,,,,,,,,,,3,207296.0,14.4720592775548
13117,,,,,,,,Low,,,,,,,,,,,,,,,,,10,521982.0,19.157748734630694
13119,,,,,,High,,High,,,,,,,,,,,,,,,,,0,77969.0,0.0
13121,,High,Low,High,,Low,,High,,High,High,High,Low,,,,,,,,,,,,7,1507882.0,4.642273069112835
13127,,High,High,,,Low,,,,,,,,,High,,,,,,,,,,2,92858.0,21.538262723728703
13129,,,,,,Low,,High,,,,,,,,,,,,,,,,,1,172233.0,5.806088264153791
13131,,,,,,,,,,,,,High,,,,,,,,,,,,0,74617.0,0.0
13133,,,,,,,,Low,,,,,,,,,,,,,,,,,0,54540.0,0.0
13135,,Low,Low,,,High,,High,,,,,High,,Low,,,,,,,,,,15,1381511.0,10.857676848030888
13137,,,,,,High,,High,,,,High,,,,,,,,,,,,,0,76874.0,0.0
13139,,,,,,High,,High,,High,High,Low,High,,,,,,,,,,,,3,429335.0,6.987550514167259
13151,,Low,,,,,,Low,,,,,,,,,,,,,,,,Low,7,440758.0,15.881731017928207
13153,,Low,Low,Low,,,Low,Low,,High,,High,,,,,,,,,,,,,3,209980.0,14.287074959519954
13157,,,,Low,,High,,Low,,,,,Low,,High,,,,,,,,,,2,221324.0,9.036525636623232
13171,,,,,,,,,,,,,,,Low,,,,,,,,,,1,98909.0,10.110303410205342
13175,,,,,,Low,,Low,,High,,High,,,,,,,,,,,,,1,76237.0,13.116990437713971
13179,,High,High,,,High,,High,,,,,,,Low,,,,,,,,,,2,79728.0,25.085289985952237
13185,High,,,Low,,,,,,Low,Low,Low,High,,High,,,,,High,,,,,0,136166.0,0.0
13187,,,,,,,,Low,,,,,,,,,,,,,,,,,0,110308.0,0.0
